  193.814   _73.7006
  194.235   _72.4805
  194.646    _71.257
  195.047   _70.0296
  195.437   _68.7989
  195.817   _67.5652
  196.186   _66.3285
  196.544   _65.0887
  196.893   _63.8453
  197.231   _62.5993
  197.558   _61.3508
  197.875   _60.0993
  198.181   _58.8459
  198.477   _57.5892
  198.762   _56.3305
  199.037   _55.0692
  199.301   _53.8058
  199.554   _52.5398
  199.797   _51.2721
   200.03   _50.0025
  200.251    _48.731
  200.462   _47.4572
  200.662   _46.1822
  200.852   _44.9056
   201.03   _43.6272
  201.198   _42.3477
  201.354   _41.0659
  201.499   _39.7836
  201.634   _38.4999
  201.756   _37.2152
  201.867   _35.9288
  201.966   _34.6419
  202.054    _33.354
  202.128   _32.0652
  202.191   _30.7755
   202.24   _29.4855
  202.275   _28.1952
  202.296   _26.9047
  202.301   _25.6142
   202.29   _24.3231
  202.259   _23.0328
  202.202    _21.743
  201.179   _21.5992
    199.9   _21.7685
   198.62   _21.9378
  197.341   _22.1071
  196.061   _22.2765
  194.782   _22.4458
  193.501   _22.6153
  193.613   _23.8054
  193.678   _25.0946
  193.664   _26.3854
  193.595   _27.6737
  193.487     _28.96
  193.347   _30.2426
   193.18   _31.5228
  192.991   _32.7997
  192.783   _34.0735
  192.557   _35.3446
  192.316   _36.6126
  192.062   _37.8785
  191.795    _39.141
  191.518   _40.4012
   191.25   _41.6635
  190.996    _42.929
  190.751    _44.197
  190.513   _45.4654
  190.277   _46.7343
  190.039   _48.0028
  189.795   _49.2709
  189.543    _50.537
   189.28   _51.8006
  189.003   _53.0615
  188.711    _54.319
  188.403    _55.572
  188.077   _56.8207
  187.733   _58.0648
  187.371   _59.3039
   186.99   _60.5377
  186.592   _61.7654
  186.176   _62.9871
  185.742   _64.2026
